"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan admin get test","Get one spartan assertion","SUCCESS","2022-08-08T01:33:22.6136624+03:00[Asia/Istanbul]","0.0","12.77"
"Spartan admin get test","Get all spartan","SUCCESS","2022-08-08T01:33:35.3941673+03:00[Asia/Istanbul]","0.0","1.7"
"Spartan admin get test","Get one spartan","SUCCESS","2022-08-08T01:33:37.0968342+03:00[Asia/Istanbul]","0.0","1.47"
"Spartan editor post test","Editor should be able to Post","SUCCESS","2022-08-08T01:33:44.3972565+03:00[Asia/Istanbul]","0.0","2.5"
"Spartan editor post test","New Spartan1-name","SUCCESS","2022-08-08T01:33:47.2576656+03:00[Asia/Istanbul]","0.0","1.69"
"Spartan editor post test","New Spartan2-name","SUCCESS","2022-08-08T01:33:48.9603299+03:00[Asia/Istanbul]","0.0","1.57"
"Spartan editor post test","New Spartan3-name","SUCCESS","2022-08-08T01:33:50.5497139+03:00[Asia/Istanbul]","0.0","1.57"
"Spartan editor post test","New Spartan4-name","SUCCESS","2022-08-08T01:33:52.1337271+03:00[Asia/Istanbul]","0.0","1.45"
"Spartan editor post test","New Spartan5-name","SUCCESS","2022-08-08T01:33:53.5917608+03:00[Asia/Istanbul]","0.0","1.7"
"Spartan editor post test","New Spartan6-name","SUCCESS","2022-08-08T01:33:55.316401+03:00[Asia/Istanbul]","0.0","1.36"
"Spartan editor post test","New Spartan7-name","SUCCESS","2022-08-08T01:33:56.6875212+03:00[Asia/Istanbul]","0.0","1.6"
"Spartan editor post test","New Spartan8-name","SUCCESS","2022-08-08T01:33:58.3047387+03:00[Asia/Istanbul]","0.0","1.38"
"Spartan editor post test","New Spartan9-name","FAILURE","2022-08-08T01:33:59.7368933+03:00[Asia/Istanbul]","0.0","1.58"
"Spartan editor post test","New Spartan10-name","SUCCESS","2022-08-08T01:34:01.5894667+03:00[Asia/Istanbul]","0.0","1.54"
